DATE,BAMLC0A0CM
2018-11-30,1.45
2018-12-03,1.44
2018-12-04,1.46
2018-12-05,1.46
2018-12-06,1.51
2018-12-07,1.51
2018-12-10,1.52
2018-12-11,1.51
2018-12-12,1.50
2018-12-13,1.48
2018-12-14,1.48
2018-12-17,1.48
2018-12-18,1.49
2018-12-19,1.49
2018-12-20,1.52
2018-12-21,1.54
2018-12-24,1.55
2018-12-25,.
2018-12-26,1.56
2018-12-27,1.57
2018-12-28,1.58
2018-12-31,1.59
2019-01-01,.
2019-01-02,1.60
2019-01-03,1.63
2019-01-04,1.62
2019-01-07,1.60
2019-01-08,1.58
2019-01-09,1.56
2019-01-10,1.55
2019-01-11,1.54
2019-01-14,1.54
2019-01-15,1.54
2019-01-16,1.52
2019-01-17,1.50
2019-01-18,1.46
2019-01-21,1.46
2019-01-22,1.46
2019-01-23,1.44
2019-01-24,1.43
2019-01-25,1.40
2019-01-28,1.40
2019-01-29,1.39
2019-01-30,1.39
2019-01-31,1.38
2019-02-01,1.36
2019-02-04,1.34
2019-02-05,1.33
2019-02-06,1.32
2019-02-07,1.34
2019-02-08,1.34
2019-02-11,1.34
2019-02-12,1.33
2019-02-13,1.32
2019-02-14,1.33
2019-02-15,1.32
