DATE,RU3000TR
20120207,3675.46
20120208,3683.94
20120209,3688.74
20120210,3660.06
20120213,3688.58
20120214,3684.22
20120215,3666.3
20120216,3711.44
20120217,3717.21
20120220,.
20120221,3715.83
20120222,3702.04
20120223,3723.32
20120224,3728.46
20120227,3732.76
20120228,3741.94
20120229,3721.28
20120301,3745.22
20120302,3728.23
20120305,3714.42
20120306,3654.12
20120307,3683.01
20120308,3721.27
20120309,3739.11
20120312,3737.02
20120313,3807.17
20120314,3798.38
20120315,3823.11
20120316,3825.96
20120319,3842.15
20120320,3826.78
20120321,3821.63
20120322,3792.01
20120323,3807.14
20120326,3861.58
20120327,3849.06
20120328,3830.07
20120329,3824.43
20120330,3836.07
20120402,3866.13
20120403,3852.68
20120404,3809.99
20120405,3807.68
20120406,.
20120409,3762.18
20120410,3693.23
20120411,3725.22
20120412,3778.8
20120413,3731.64
20120416,3730.08
20120417,3787.59
20120418,3771.4
20120419,3751.15
20120420,3756.8
20120423,3722.4
20120424,3735.95
20120425,3790.02
20120426,3816.58
20120427,3828.84
20120430,3810.91
20120501,3829.89
20120502,3823.81
20120503,3789.7
20120504,3728.32
20120507,3730.68
20120508,3716.23
20120509,3693.67
20120510,3703.97
20120511,3693.8
20120514,3651.49
20120515,3632.21
20120516,3615.74
20120517,3554.7
20120518,3525.95
20120521,3587.65
20120522,3588.22
20120523,3597.06
20120524,3602.66
20120525,3596.07
20120528,.
20120529,3638.04
20120530,3583.14
20120531,3575.33
20120601,3483.2
20120604,3480.95
20120605,3505.68
20120606,3587.87
20120607,3583.79
20120608,3613.5
20120611,3562.35
20120612,3604.19
20120613,3576.56
20120614,3614.44
20120615,3651.87
20120618,3659.74
20120619,3698.73
20120620,3692.86
20120621,3608.88
20120622,3635.99
20120625,3577.12
20120626,3595.05
20120627,3629.18
20120628,3622.87
20120629,3715.35
20120702,3728.72
20120703,3756.68
20120704,.
20120705,3741.89
20120706,3705.78
20120709,3698.21
20120710,3665.91
20120711,3663.62
20120712,3646.84
20120713,3705.61
20120716,3695.23
20120717,3720.99
20120718,3745.79
20120719,3754.5
20120720,3715.48
20120723,3678.99
20120724,3643.12
20120725,3644.03
20120726,3700.87
20120727,3773.57
20120730,3769.23
20120731,3752.15
20120801,3734.69
20120802,3709.35
20120803,3782.08
20120806,3793.47
20120807,3815.56
20120808,3818.31
20120809,3823.11
20120810,3830.19
20120813,3825.32
20120814,3824.16
20120815,3833.99
20120816,3863.1
20120817,3872.76
20120820,3870.62
20120821,3859.45
20120822,3859.26
20120823,3829.27
20120824,3852.45
20120827,3850.65
20120828,3851.08
20120829,3856.38
20120830,3826.34
20120831,3845.8
20120903,.
20120904,3848.53
20120905,3845.66
20120906,3924.47
20120907,3941.99
20120910,3919.25
20120911,3931.01
20120912,3941.54
20120913,4002.74
20120914,4023.84
20120917,4007.23
20120918,4000.46
20120919,4005.92
20120920,4000.27
20120921,4001.87
20120924,3991.31
20120925,3946.57
20120926,3924.83
20120927,3964.01
20120928,3946.79
20121001,3955.86
20121002,3960.76
20121003,3973.91
20121004,4002.52
20121005,4002.3
20121008,3987.68
20121009,3947.22
20121010,3924.75
20121011,3929.1
20121012,3914.92
20121015,3945.57
20121016,3985.68
20121017,4004.41
20121018,3994.85
20121019,3929.38
20121022,3929.72
20121023,3878.45
20121024,3866.74
20121025,3877.88
20121026,3873.16
20121029,3873.16
20121030,3873.16
20121031,3878.72
20121101,3925.3
20121102,3885.77
20121105,3896.3
20121106,3927.07
20121107,3838.09
20121108,3790.94
20121109,3797.24
20121112,3797.05
20121113,3782.65
20121114,3728.25
20121115,3720.84
20121116,3742.24
20121119,3816.42
20121120,3820.49
20121121,3831.17
20121122,.
20121123,3880.23
20121126,3874.14
20121127,3856.66
20121128,3887.11
20121129,3907.61
20121130,3908.75
20121203,3891.58
20121204,3886.11
20121205,3892.37
20121206,3905.89
20121207,3916.61
20121210,3920.91
20121211,3946.85
20121212,3946.87
20121213,3923.17
20121214,3908.77
20121217,3954.4
20121218,4001.53
20121219,3976.88
20121220,3998.95
20121221,3963.21
20121224,3954.03
20121225,.
20121226,3933.26
20121227,3929.75
20121228,3889.9
20121231,3956.65
20130101,.
20130102,4058.13
20130103,4052.24
20130104,4074.23
20130107,4061.66
